MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Lao PDR,H320101,2014-09-26,2014,9,26,26.0,7.12,91.0,14.4,1.05,0.25,0.01,0.03,1.06,0.01,0.17,0.27,0.01,0.08,5.33,4.1
Lao PDR,H320101,2013-08-15,2013,8,15,26.3,7.29,33.5,18.6,1.349,0.313,0.096,0.016,1.64,0.068,0.096,0.212,0.01,0.03,8.0,0.8
Lao PDR,H320101,2009-04-16,2009,4,16,26.0,7.71,11.0,21.66,1.513,0.603,0.11,0.014,2.066,0.058,0.055,0.069,0.015,0.022,6.87,1.338
Lao PDR,H320101,1992-07-14,1992,7,14,29.0,8.35,46.0,21.1,1.448,0.549,0.183,0.03,1.794,0.008,0.323,0.244,0.037,0.016,7.82,1.8
Lao PDR,H320101,1993-07-14,1993,7,14,27.4,7.6,56.0,15.9,1.422,0.191,0.035,0.026,1.557,0.012,0.152,0.009,0.027,0.015,7.26,2.0
Lao PDR,H320101,1993-08-16,1993,8,16,27.4,7.3,100.0,16.3,1.456,0.23,0.039,0.022,1.661,0.012,0.112,0.152,0.011,0.046,7.88,1.2
Lao PDR,H320101,2015-01-29,2015,1,29,22.5,7.6,9.0,7.8,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.25,0.01,0.08,8.5,1.2
Lao PDR,H320101,2009-08-15,2009,8,15,26.0,7.13,84.0,15.47,1.313,0.19,0.037,0.039,1.534,0.036,0.078,0.181,0.083,0.024,7.81,1.24
Lao PDR,H320101,2004-06-18,2004,6,18,30.2,7.76,45.0,20.5,1.461,0.429,0.021,0.003,1.768,0.056,0.177,0.163,0.059,0.076,6.7,3.918
Lao PDR,H320101,2015-03-18,2015,3,18,25.8,6.93,9.2,3.2,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.31,0.08,0.01,7.59,2.2
Lao PDR,H320101,2014-05-16,2014,5,16,27.9,7.32,21.0,8.22,0.54,0.06,0.01,0.02,0.38,0.05,0.16,0.1,0.08,0.02,5.65,1.9
Lao PDR,H320101,2006-05-17,2006,5,17,30.1,7.54,29.0,16.1,1.105,0.451,0.089,0.021,1.402,0.075,0.143,0.33,0.025,0.019,7.8,1.211
Lao PDR,H320101,2005-03-21,2005,3,21,28.0,8.1,2.0,20.6,1.5,0.463,0.065,0.016,1.823,0.01,0.207,0.029,0.031,0.013,6.6,1.178
Lao PDR,H320101,2006-04-22,2006,4,22,30.0,8.2,2.29,17.8,1.058,0.566,0.09,0.016,1.443,0.255,0.054,0.037,0.019,0.018,8.0,1.095
Lao PDR,H320101,2005-12-12,2005,12,12,25.3,7.0,20.0,17.8,1.307,0.263,0.154,0.028,1.603,0.075,0.062,0.056,0.054,0.006,7.53,0.376
Lao PDR,H320101,1996-01-16,1996,1,16,24.0,7.91,3.0,20.0,1.546,0.461,0.114,0.026,1.961,0.029,0.259,0.188,0.019,0.008,9.93,0.3
Lao PDR,H320101,1994-09-17,1994,9,17,26.2,7.66,110.0,20.8,1.533,0.316,0.078,0.011,2.007,0.03,0.102,0.208,0.035,0.119,7.99,1.4
Lao PDR,H320101,2005-05-10,2005,5,10,29.0,7.87,12.0,18.92,1.34,0.438,0.095,0.075,1.611,0.076,0.173,0.008,0.051,0.022,7.1,0.727
Lao PDR,H320101,2005-09-05,2005,9,5,26.0,7.05,74.0,18.9,1.402,0.408,0.047,0.029,1.72,0.026,0.206,0.186,0.015,0.015,6.44,2.13
