MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg/L,COND_mS/m,Ca_meq/L,Mg_meq/L,Na_meq/L,K_meq/L,ALK_meq/L,Cl_meq/L,SO4_meq/L,NO32_mg/L,NH4N_mg/L,TOTP_mg/L,DO_mg/L,CODMN_mg/L
Cambodia,H033402,2000-11-17,2000,11,17,28.6,7.28,92.66,8.0,0.413,0.192,0.19,0.03,0.644,0.04,0.114,0.04,0.005,0.01,5.649,1.92
Cambodia,H033402,2000-12-20,2000,12,20,28.8,7.09,30.0,8.37,0.407,0.183,0.18,0.03,0.648,0.053,0.164,0.06,0.04,0.01,5.746,2.15
Cambodia,H640110,2000-01-27,2000,1,27,30.5,7.23,74.0,9.1,0.291,0.213,0.49,0.08,0.568,0.138,0.055,0.111,0.07,0.06,6.62,3.337
Cambodia,H640110,2000-02-23,2000,2,23,29.4,6.05,5.5,9.9,0.538,0.21,0.48,0.06,0.796,0.139,0.071,0.162,0.019,0.05,5.55,2.6
Cambodia,H640110,2000-03-12,2000,3,12,29.2,6.86,43.0,9.8,0.294,0.236,0.53,0.07,0.584,0.102,0.09,0.072,0.061,0.05,5.64,3.4
Cambodia,H640110,2000-04-11,2000,4,11,30.6,6.92,130.0,10.6,0.33,0.216,0.6,0.04,0.267,0.059,0.169,0.239,0.056,0.07,5.16,2.652
Cambodia,H640110,2000-05-30,2000,5,30,34.2,7.82,68.0,6.1,0.221,0.139,0.61,0.07,0.364,0.162,0.41,0.312,0.053,0.04,6.767,3.75
Cambodia,H640110,2000-06-30,2000,6,30,30.0,7.48,118.0,5.8,0.217,0.124,0.265,0.06,0.372,0.042,0.0811,0.145,0.01,0.06,7.251,2.407
Cambodia,H640110,2000-07-29,2000,7,29,29.9,7.51,142.0,5.73,0.325,0.023,0.26,0.05,0.356,0.03,0.177,0.1,0.004,0.07,6.327,3.11
Cambodia,H640110,2000-08-11,2000,8,11,30.4,7.55,92.0,6.8,0.222,0.082,0.34,0.05,0.607,0.026,0.078,0.2,0.03,0.04,6.04,2.64
Cambodia,H640110,2000-09-22,2000,9,22,21.0,7.12,64.5,5.57,0.209,0.123,0.03,0.05,0.46,0.05,0.049,0.07,0.008,0.04,7.12,5.25
Cambodia,H640110,2000-10-30,2000,10,30,29.2,7.29,99.5,7.48,0.31,0.165,0.25,0.04,0.672,0.038,0.056,0.04,0.01,0.05,6.783,3.37
Cambodia,H640110,2000-11-18,2000,11,18,29.2,7.58,69.3,9.3,0.396,0.17,0.41,0.05,0.84,0.01,0.13,0.1,0.007,0.07,7.237,2.688
Cambodia,H640110,2000-12-21,2000,12,21,28.4,7.23,83.0,8.19,0.277,0.152,0.37,0.05,0.672,0.066,0.11,0.06,0.08,0.04,6.945,2.55
Cambodia,H014901,2001-01-18,2001,1,18,30.0,8.08,15.0,17.98,1.005,0.394,0.42,0.03,1.404,0.012,0.495,0.21,0.02,0.02,7.45,3.08
Cambodia,H014901,2001-02-14,2001,2,14,30.0,8.24,21.5,19.12,1.112,0.456,0.62,0.03,1.492,0.01,0.437,0.02,0.003,0.01,7.351,0.731
Cambodia,H014901,2001-03-19,2001,3,19,30.0,7.63,8.333,18.7,1.024,0.42,0.42,0.05,1.376,0.054,0.411,0.009,0.003,0.02,7.366,1.625
Cambodia,H014901,2001-05-15,2001,5,15,30.0,7.84,21.0,17.5,0.921,0.4,0.39,0.04,1.285,0.177,0.25,0.04,0.013,0.02,7.358,1.4
Cambodia,H014901,2001-08-10,2001,8,10,28.8,7.46,215.0,6.09,0.345,0.131,0.114,0.03186,0.526,0.021,0.041,0.1495,0.0048,0.044,6.759,2.6
Cambodia,H014901,2001-09-20,2001,9,20,31.0,7.51,174.0,9.01,0.2375,0.465,0.13674,0.02357,0.737,0.028,0.115,0.09905,0.0198,0.013,6.929,1.94
Cambodia,H014901,2001-10-08,2001,10,8,30.0,7.9,149.0,8.6,0.1896,0.469,0.1769,0.02325,0.714,0.0303,0.132,0.1563,0.0178,0.012,7.1317,2.066
Cambodia,H014901,2001-11-18,2001,11,18,27.0,7.87,206.0,11.82,0.2716,0.587,0.2163,0.0305,0.837,0.0236,0.231,0.218,0.0071,0.014,8.0869,2.339
Cambodia,H014901,2001-12-18,2001,12,18,27.5,7.76,84.0,16.07,0.32,0.553,0.29139,0.0334,1.224,0.0103,0.328,0.2972,0.003,0.015,9.003,1.8
Cambodia,H019801,2001-01-16,2001,1,16,28.0,8.04,8.5,17.67,0.99,0.399,0.41,0.03,1.372,0.006,0.409,0.13,0.007,0.02,7.128,1.32
Cambodia,H019801,2001-02-15,2001,2,15,28.2,8.14,8.0,19.59,1.152,0.445,0.51,0.03,1.516,0.009,0.431,0.01,0.01,0.01,7.351,0.812
Cambodia,H019801,2001-03-13,2001,3,13,31.0,7.91,15.0,19.4,1.054,0.464,0.4,0.04,1.464,0.013,0.459,0.14,0.07,0.01,7.12,1.42
Cambodia,H019801,2001-04-13,2001,4,13,33.6,8.39,10.67,19.0,0.831,0.595,0.45,0.04,1.352,0.007,0.476,0.05,0.04,0.005,6.864,1.8
Cambodia,H019801,2001-05-17,2001,5,17,31.8,7.92,15.0,5.9,0.919,0.398,0.35,0.04,1.301,0.0133,0.432,0.08,0.011,0.03,7.293,1.4
Cambodia,H019801,2001-06-13,2001,6,13,30.8,7.5,86.0,14.04,0.732,0.241,0.38,0.05,0.895,0.057,0.401,0.47,0.11,0.04,6.742,8.6
Cambodia,H019801,2001-10-19,2001,10,19,30.2,7.59,74.0,12.2,0.266,0.692,0.2355,0.02866,0.902,0.0359,0.2611,0.19999,0.024,0.015,6.9,1.549
Cambodia,H019801,2001-12-21,2001,12,21,28.2,7.43,73.0,9.21,0.183,0.529,0.1619,0.0333,0.748,0.0311,0.126,0.15635,0.004,0.0189,5.5,2.448
Cambodia,H019802,2001-01-16,2001,1,16,27.0,7.87,12.75,18.28,1.013,0.398,0.42,0.03,1.364,0.008,0.387,0.15,0.008,0.02,7.443,0.81
Cambodia,H019802,2001-02-15,2001,2,15,27.6,8.21,8.25,19.39,0.918,0.646,0.54,0.03,1.488,0.009,0.448,0.02,0.01,0.009,7.389,0.893
Cambodia,H019802,2001-03-13,2001,3,13,31.0,7.82,22.67,18.9,0.998,0.446,0.42,0.04,1.384,0.008,0.441,0.03,0.03,0.01,6.958,1.421
Cambodia,H019802,2001-04-13,2001,4,13,32.4,8.46,18.33,18.59,0.991,0.398,0.43,0.04,1.266,0.007,0.449,0.08,0.06,0.004,7.107,1.64
Cambodia,H019802,2001-05-17,2001,5,17,31.0,7.61,22.5,17.86,0.931,0.43,0.36,0.04,1.274,0.0078,0.416,0.32,0.14,0.02,7.35,1.0
Cambodia,H019802,2001-06-13,2001,6,13,30.2,7.61,156.0,13.77,0.756,0.209,0.36,0.05,0.891,0.027,0.368,0.38,0.12,0.05,6.564,6.0
Cambodia,H019802,2001-07-18,2001,7,18,27.8,7.7,198.6,11.86,0.779,0.24,0.1475,0.0275,0.876,0.0328,0.191,0.2434,0.0761,0.061,6.767,5.495
Cambodia,H019802,2001-08-16,2001,8,16,26.8,7.66,203.0,10.5,0.681,0.183,0.148,0.0253,0.881,0.0151,0.113,0.19108,0.0072,0.03,6.73,1.7
Cambodia,H019802,2001-09-14,2001,9,14,27.4,7.45,75.0,10.98,0.2637,0.533,0.152,0.02398,0.88,0.17,0.163,0.11665,0.0175,0.022,7.083,6.28
Cambodia,H019802,2001-10-18,2001,10,18,30.0,7.47,98.0,12.62,0.2913,0.677,0.2421,0.0283,0.944,0.01798,0.173,0.2129,0.0296,0.013,7.2,2.58
Cambodia,H019806,2001-01-18,2001,1,18,27.4,7.47,27.0,11.94,0.633,0.258,0.3,0.03,0.94,0.065,0.178,0.09,0.007,0.01,6.535,2.84
Cambodia,H019806,2001-02-14,2001,2,14,29.0,7.61,12.75,13.49,0.797,0.232,0.46,0.03,1.064,0.029,0.277,0.09,0.01,0.01,6.343,1.827
Cambodia,H019806,2001-03-14,2001,3,14,32.0,7.77,12.33,16.53,0.875,0.336,0.39,0.04,1.212,0.014,0.386,0.05,0.05,0.02,6.574,2.07
Cambodia,H019806,2001-04-15,2001,4,15,32.8,8.65,17.0,17.3,0.935,0.384,0.43,0.04,1.274,0.004,0.432,0.04,0.04,0.01,6.961,4.08
Cambodia,H019806,2001-05-16,2001,5,16,31.6,7.88,12.0,16.7,0.855,0.392,0.36,0.04,1.211,0.0167,0.347,0.08,0.012,0.02,7.18,1.4
Cambodia,H019806,2001-06-12,2001,6,12,31.0,7.47,34.0,15.68,0.847,0.275,0.38,0.04,1.053,0.021,0.437,0.48,0.09,0.03,6.022,4.64
Cambodia,H019806,2001-09-13,2001,9,13,28.0,7.38,118.0,10.4,0.2142,0.613,0.16133,0.0244,0.864,0.026,0.174,0.12236,0.0285,0.007,6.621,9.94
Cambodia,H019806,2001-10-17,2001,10,17,30.0,7.47,112.0,11.47,0.264,0.644,0.2298,0.02738,0.871,0.0236,0.265,0.21512,0.0129,0.012,6.897,2.582
Cambodia,H019806,2001-12-21,2001,12,21,28.4,7.55,28.0,12.33,0.319,0.651,0.2301,0.0332,0.929,0.0138,0.239,0.2035,0.003,0.0183,6.6,1.416
Cambodia,H020101,2001-01-16,2001,1,16,28.2,7.06,58.33,6.48,0.308,0.167,0.19,0.03,0.524,0.069,0.069,0.12,0.007,0.01,4.75,5.27
Cambodia,H020101,2001-02-15,2001,2,15,29.0,7.19,30.33,6.88,0.346,0.121,0.27,0.03,0.556,0.049,0.095,0.02,0.001,0.01,5.466,3.857
Cambodia,H020101,2001-03-13,2001,3,13,30.9,6.92,23.5,6.6,0.274,0.131,0.27,0.05,0.5,0.048,0.133,0.37,0.01,0.04,4.827,3.451
Cambodia,H020101,2001-04-13,2001,4,13,33.4,6.61,53.33,5.7,0.155,0.103,0.31,0.05,0.346,0.084,0.241,0.47,0.04,0.009,4.629,4.56
Cambodia,H020101,2001-05-17,2001,5,17,31.6,6.98,34.0,8.5,0.31,0.193,0.33,0.06,0.533,0.0499,0.217,0.44,0.14,0.07,5.973,3.0
Cambodia,H020101,2001-06-13,2001,6,13,30.8,7.2,104.67,14.03,0.756,0.213,0.39,0.05,0.907,0.012,0.448,0.47,0.09,0.04,6.427,6.0
Cambodia,H020101,2001-08-15,2001,8,15,28.5,7.69,201.0,10.85,0.699,0.237,0.1782,0.0278,0.928,0.021,0.125,0.20785,0.0066,0.014,6.751,3.4
Cambodia,H020101,2001-09-14,2001,9,14,29.8,7.24,50.0,10.31,0.2453,0.586,0.1554,0.02652,0.841,0.02,0.163,0.11237,0.0244,0.005,5.633,1.28
Cambodia,H020101,2001-10-18,2001,10,18,31.2,7.24,20.66,9.61,0.2163,0.552,0.1476,0.0298,0.829,0.0191,0.185,0.0269,0.0345,0.009,4.4,2.384
Cambodia,H020101,2001-11-18,2001,11,18,26.6,7.81,43.33,8.74,0.2164,0.453,0.148,0.0305,0.714,0.0179,0.162,0.0929,0.0023,0.004,6.459,2.295
Cambodia,H020102,2001-01-17,2001,1,17,27.8,7.02,45.33,6.56,0.388,0.221,0.19,0.03,0.688,0.058,0.085,0.11,0.007,0.02,5.773,4.18
Cambodia,H020102,2001-02-15,2001,2,15,28.8,6.98,24.0,6.87,0.3,0.179,0.28,0.03,0.564,0.048,0.095,0.05,0.02,0.01,5.55,3.248
Cambodia,H020102,2001-03-12,2001,3,12,31.0,6.97,26.0,6.6,0.236,0.162,0.26,0.05,0.464,0.065,0.107,0.34,0.01,0.04,5.519,3.451
Cambodia,H020102,2001-04-14,2001,4,14,33.2,6.7,36.0,5.5,0.147,0.102,0.3,0.05,0.325,0.051,0.146,0.46,0.04,0.05,5.86,5.0
Cambodia,H020102,2001-05-15,2001,5,15,32.0,6.62,42.67,5.9,0.135,0.143,0.3,0.07,0.352,0.0876,0.155,0.47,0.12,0.11,4.102,3.08
Cambodia,H020102,2001-06-18,2001,6,18,29.4,7.48,126.0,15.9,0.911,0.283,0.37,0.06,1.111,0.005,0.401,0.45,0.1,0.08,6.86,2.2
Cambodia,H020102,2001-07-06,2001,7,6,28.5,7.43,166.0,10.17,0.549,0.201,0.2215,0.0529,0.685,0.0138,0.191,0.2639,0.1,0.114,6.109,4.0
Cambodia,H020102,2001-08-13,2001,8,13,28.2,7.66,139.0,11.5,0.715,0.205,0.1508,0.0254,0.959,0.02,0.119,0.16444,0.0054,0.008,6.48,2.14
Cambodia,H020102,2001-09-12,2001,9,12,30.1,6.45,22.0,9.6,0.2424,0.404,0.1426,0.0255,0.77,0.026,0.132,0.1295,0.0487,0.01,6.24,1.78
Cambodia,H020102,2001-10-18,2001,10,18,30.6,7.05,20.0,9.02,0.224,0.482,0.1391,0.0305,0.783,0.0281,0.1118,0.04433,0.0215,0.09,4.5,2.543
Cambodia,H020102,2001-11-12,2001,11,12,28.2,7.28,32.66,8.56,0.2192,0.462,0.1433,0.0313,0.395,0.0258,0.112,0.0579,0.0044,0.096,6.3,2.079
Cambodia,H020103,2001-01-17,2001,1,17,27.6,7.26,21.67,6.83,0.243,0.129,0.21,0.03,0.552,0.053,0.093,0.11,0.02,0.01,6.05,4.68
Cambodia,H020103,2001-02-13,2001,2,13,29.2,7.13,17.429,7.58,0.394,0.124,0.27,0.04,0.632,0.06,0.076,0.05,0.03,0.01,6.073,3.329
Cambodia,H020103,2001-03-12,2001,3,12,31.0,6.91,27.5,6.4,0.199,0.151,0.29,0.05,0.432,0.059,0.124,0.4,0.03,0.009,6.258,3.857
Cambodia,H020103,2001-04-14,2001,4,14,34.0,7.12,56.0,5.4,0.115,0.11,0.36,0.06,0.301,0.045,0.102,0.47,0.03,0.07,4.734,4.6
Cambodia,H020103,2001-05-15,2001,5,15,32.0,6.65,212.0,4.9,0.151,0.016,0.37,0.09,0.341,0.096,0.17,0.35,0.13,0.07,4.726,3.6
Cambodia,H020103,2001-08-14,2001,8,14,28.1,7.49,139.3,12.2,0.751,0.213,0.1782,0.0278,0.721,0.0151,0.133,0.1388,0.0199,0.017,5.94,5.04
Cambodia,H020103,2001-09-12,2001,9,12,30.6,6.45,18.0,8.0,0.1803,0.635,0.13477,0.02764,0.66,0.023,0.115,0.1038,0.01324,0.011,6.04,2.1
Cambodia,H020103,2001-10-19,2001,10,19,30.6,7.26,6.0,7.07,0.1581,0.39,0.1231,0.02934,0.622,0.0337,0.196,0.0872,0.0333,0.005,4.9,2.582
Cambodia,H020103,2001-11-12,2001,11,12,28.2,7.47,12.66,9.27,0.2193,0.505,0.14987,0.0312,0.748,0.0202,0.151,0.0278,0.0051,0.004,6.5,2.382
Cambodia,H020103,2001-12-13,2001,12,13,28.4,7.58,8.0,9.93,0.244,0.353,0.16981,0.0331,0.817,0.0253,0.15,0.0759,0.0082,0.012,2.84,2.112
Cambodia,H020106,2001-01-17,2001,1,17,27.8,6.84,37.67,5.78,0.314,0.153,0.19,0.04,0.44,0.071,0.084,0.2,0.008,0.02,6.212,4.06
Cambodia,H020106,2001-02-13,2001,2,13,26.6,6.85,14.286,6.39,0.326,0.062,0.27,0.04,0.516,0.06,0.088,0.02,0.007,0.02,6.612,4.344
Cambodia,H020106,2001-03-12,2001,3,12,29.8,6.82,167.5,6.1,0.348,0.276,0.41,0.07,0.508,0.15,0.077,0.47,0.05,0.04,5.758,3.857
Cambodia,H020106,2001-04-14,2001,4,14,33.8,6.85,95.0,5.4,0.107,0.11,0.37,0.07,0.29,0.045,0.16,0.4,0.03,0.05,7.083,5.2
Cambodia,H020106,2001-05-15,2001,5,15,29.8,6.93,32.7,5.8,0.099,0.092,0.44,0.12,0.313,0.147,0.369,0.04,0.04,0.069,6.929,7.4
Cambodia,H020106,2001-06-17,2001,6,17,31.4,7.75,29.0,15.0,0.736,0.324,0.41,0.05,0.953,0.024,0.477,0.27,0.14,0.04,8.182,2.96
Cambodia,H020106,2001-07-18,2001,7,18,30.0,7.56,28.5,10.0,0.566,0.217,0.1827,0.0322,0.733,0.0109,0.215,0.1632,0.1235,0.0095,6.83,5.031
Cambodia,H020106,2001-08-14,2001,8,14,29.4,7.69,4.5,11.9,0.763,0.205,0.1641,0.0286,1.01,0.022,0.127,0.11956,0.0095,0.008,6.42,3.44
Cambodia,H020106,2001-09-11,2001,9,11,29.9,6.71,2.66,9.4,0.2472,0.383,0.13379,0.02967,0.853,0.008,0.13,0.1132,0.0167,0.0085,6.18,3.911
Cambodia,H020106,2001-10-20,2001,10,20,31.6,7.22,2.66,8.71,0.203,0.511,0.1403,0.03211,0.764,0.0325,0.113,0.0189,0.0153,0.008,5.6,4.212
Cambodia,H020106,2001-11-12,2001,11,12,29.3,7.39,9.33,8.19,0.1339,0.465,0.1387,0.0303,0.629,0.0247,0.155,0.01707,0.00715,0.005,6.1,2.685
Cambodia,H020106,2001-12-12,2001,12,12,29.6,7.19,4.66,8.51,0.228,0.366,0.16388,0.034,0.6911,0.0311,0.1399,0.0211,0.00852,0.015,8.9,3.264
Cambodia,H033401,2001-01-18,2001,1,18,27.8,6.99,20.67,6.68,0.295,0.172,0.21,0.04,0.52,0.075,0.088,0.1,0.01,0.02,6.227,4.26
Cambodia,H033401,2001-02-14,2001,2,14,28.8,6.94,18.5,7.04,0.302,0.226,0.27,0.04,0.596,0.0044,0.112,0.15,0.01,0.02,4.942,3.857
Cambodia,H033401,2001-03-14,2001,3,14,29.8,6.94,31.5,10.0,0.334,0.189,0.4,0.08,0.728,0.039,0.147,0.44,0.01,0.05,4.996,3.654
Cambodia,H033401,2001-04-15,2001,4,15,32.0,6.76,34.5,9.5,0.282,0.179,0.47,0.06,0.548,0.027,0.169,0.47,0.006,0.07,5.09,5.4
Cambodia,H033401,2001-05-16,2001,5,16,31.2,6.98,36.0,9.2,0.246,0.187,0.43,0.06,0.529,0.139,0.205,0.47,0.021,0.11,6.062,3.4
Cambodia,H033401,2001-06-12,2001,6,12,30.6,7.48,86.0,15.43,0.312,0.269,0.39,0.04,0.992,0.0223,0.388,0.52,0.08,0.06,6.354,6.2
Cambodia,H033401,2001-09-13,2001,9,13,28.2,7.45,67.0,10.95,0.2753,0.604,0.16526,0.0251,0.887,0.026,0.175,0.11951,0.014,0.006,6.799,8.5
Cambodia,H033401,2001-12-22,2001,12,22,28.3,7.46,10.66,9.53,0.237,0.499,0.18859,0.0348,0.737,0.038,0.15,0.13279,0.001,0.03,7.5,2.976
Cambodia,H033402,2001-01-18,2001,1,18,27.6,7.42,51.7,7.62,0.32,0.169,0.29,0.03,0.596,0.08,0.091,0.16,0.007,0.03,6.058,3.23
Cambodia,H033402,2001-02-14,2001,2,14,28.0,7.26,19.0,7.79,0.354,0.174,0.33,0.04,0.6,0.043,0.125,0.15,0.02,0.02,5.543,3.576
Cambodia,H033402,2001-03-14,2001,3,14,32.0,6.99,12.0,8.9,0.35,0.207,0.32,0.05,0.664,0.04,0.183,0.32,0.01,0.02,6.173,3.248
Cambodia,H033402,2001-04-15,2001,4,15,32.4,7.5,10.0,9.4,0.314,0.217,0.41,0.05,0.65,0.04,0.236,0.36,0.03,0.02,7.107,5.2
Cambodia,H033402,2001-05-16,2001,5,16,31.4,7.24,15.0,11.6,0.354,0.243,0.42,0.06,0.772,0.052,0.401,0.14,0.02,0.02,7.18,4.0
Cambodia,H033402,2001-07-17,2001,7,17,30.0,7.62,184.0,11.71,0.741,0.243,0.1505,0.0282,0.904,0.0709,0.237,0.2482,0.0693,0.058,6.622,2.438
Cambodia,H033402,2001-09-13,2001,9,13,28.4,7.53,172.0,10.79,0.2355,0.624,0.16723,0.02469,0.876,0.021,0.167,0.1889,0.0539,0.007,6.459,3.84
Cambodia,H033402,2001-10-17,2001,10,17,29.8,7.33,127.33,9.37,0.222,0.536,0.1618,0.03102,0.787,0.0314,0.179,0.13881,0.0197,0.012,5.86,2.88
Cambodia,H033402,2001-11-19,2001,11,19,26.7,7.1,36.66,8.97,0.2086,0.477,0.1527,0.0317,0.698,0.0213,0.134,0.094,0.0023,0.004,6.6,2.382
Cambodia,H033402,2001-12-21,2001,12,21,29.6,7.7,12.0,9.56,0.32,0.422,0.18365,0.035,0.768,0.0403,0.149,0.1533,0.002,0.0137,5.7,4.32
Cambodia,H640110,2001-01-16,2001,1,16,27.6,7.16,198.0,9.22,0.312,0.139,0.48,0.07,0.776,0.093,0.104,0.12,0.01,0.06,6.566,4.18
Cambodia,H640110,2001-02-15,2001,2,15,28.6,7.46,74.5,10.03,0.491,0.043,0.48,0.06,0.836,0.073,0.115,0.09,0.02,0.03,6.243,3.045
Cambodia,H640110,2001-04-13,2001,4,13,32.4,7.2,87.5,9.5,0.298,0.155,0.52,0.08,0.705,0.051,0.225,0.18,0.06,0.05,6.054,4.7
Cambodia,H640110,2001-05-17,2001,5,17,29.8,7.22,144.5,10.9,0.33,0.223,0.53,0.08,0.901,0.0399,0.325,0.19,0.025,0.07,6.742,2.56
Cambodia,H640110,2001-06-13,2001,6,13,32.2,7.05,192.67,6.86,0.21,0.124,0.41,0.07,0.536,0.042,0.185,0.19,0.09,0.11,6.022,8.4
Cambodia,H640110,2001-07-18,2001,7,18,28.0,7.48,138.0,6.18,0.221,0.136,0.1626,0.0284,0.446,0.0692,0.0908,0.2134,0.1333,0.0018,6.395,8.243
Cambodia,H640110,2001-08-16,2001,8,16,28.5,7.1,208.0,5.7,0.168,0.081,0.1669,0.0265,0.393,0.059,0.05,0.09293,0.0095,0.026,6.954,7.14
Cambodia,H640110,2001-09-14,2001,9,14,30.2,7.38,108.0,8.63,0.1309,0.339,0.33638,0.03201,0.548,0.048,0.128,0.15756,0.0117,0.007,6.893,9.5
Cambodia,H640110,2001-10-18,2001,10,18,28.6,7.34,167.0,8.14,0.1354,0.383,0.2685,0.03604,0.737,0.0359,0.144,0.10102,0.0407,0.012,5.6,3.576
Cambodia,H640110,2001-11-18,2001,11,18,27.4,7.97,52.0,10.03,0.1698,0.414,0.374,0.0362,0.871,0.0258,0.171,0.1581,0.0057,0.011,6.338,4.635
Cambodia,H640110,2001-12-21,2001,12,21,28.0,7.34,35.0,9.68,0.157,0.389,0.3863,0.0417,0.802,0.0426,0.12,0.1523,0.013,0.017,6.5,2.304
Cambodia,H014901,2002-02-10,2002,2,10,25.5,7.73,10.0,20.1,0.5018,0.558,0.329,0.031,0.897,0.0077,0.481,0.066,0.0063,0.0197,9.04,0.86
Cambodia,H014901,2002-03-18,2002,3,18,29.5,7.3,3.33,19.5,0.4153,0.562,0.364,0.0343,0.874,0.0082,0.453,0.0326,0.0144,0.021,8.1,1.38
Cambodia,H014901,2002-07-14,2002,7,14,31.0,7.22,26.0,17.25,0.189,0.385,0.1188,0.02216,0.522,0.0439,0.115,0.1673,0.0142,0.012,9.464,1.88
Cambodia,H019801,2002-01-16,2002,1,16,27.3,7.66,12.0,17.43,0.404,0.542,0.2902,0.0289,0.869,0.0262,0.33,0.1407,0.0071,0.0217,9.7,0.6272
Cambodia,H019801,2002-03-23,2002,3,23,31.0,7.1,3.33,20.1,0.5182,0.528,0.359,0.0336,0.897,0.058,0.461,0.03963,0.0225,0.016,6.602,0.988
Cambodia,H019801,2002-04-29,2002,4,29,32.0,8.63,12.0,20.6,0.4354,0.588,0.358,0.0376,0.874,0.0066,0.529,0.00848,0.0064,0.0117,6.95,1.967
Cambodia,H019801,2002-05-17,2002,5,17,32.0,7.76,2.66,21.0,0.4819,0.58,0.3577,0.0386,0.9016,0.008,0.535,0.0054,0.0292,0.0127,6.83,1.4
Cambodia,H019801,2002-06-17,2002,6,17,30.2,7.52,202.0,14.89,0.3936,0.407,0.2673,0.0372,0.73,0.0124,0.365,0.4114,0.0287,0.0195,6.7,2.48
Cambodia,H019801,2002-09-30,2002,9,30,27.9,7.05,201.33,8.24,0.2124,0.452,0.1372,0.0236,0.613,0.0132,0.134,0.1986,0.005,0.0089,5.6,1.88
Cambodia,H019801,2002-11-22,2002,11,22,29.0,7.44,34.0,14.41,0.2687,0.786,0.3261,0.0316,0.991,0.0141,0.319,0.384,0.0074,0.0187,7.84,1.62
Cambodia,H019802,2002-03-23,2002,3,23,30.0,6.36,5.33,20.2,0.4083,0.61138,0.365,0.0352,0.878,0.0082,0.482,0.0478,0.0425,0.0169,7.0,1.216
Cambodia,H019802,2002-04-29,2002,4,29,31.6,7.21,8.0,20.0,0.4023,0.6004,0.3719,0.0373,0.8663,0.0066,0.519,0.00427,0.0032,0.0182,5.46,1.7112
Cambodia,H019802,2002-05-17,2002,5,17,32.1,7.41,3.33,20.7,0.4169,0.627,0.3508,0.0398,0.8938,0.008,0.513,0.0021,0.0292,0.0121,6.73,1.2
Cambodia,H019802,2002-09-25,2002,9,25,27.8,7.06,159.33,8.71,0.2114,0.469,0.1519,0.023,0.726,0.0184,0.1444,0.16059,0.0022,0.0114,7.34,1.96
Cambodia,H019802,2002-11-17,2002,11,17,29.4,7.65,48.66,13.99,0.2737,0.693,0.316,0.0318,0.983,0.0141,0.296,0.3176,0.0128,0.0177,10.35,2.18
Cambodia,H019806,2002-01-15,2002,1,15,27.4,7.34,18.0,12.73,0.304,0.345,0.2262,0.0311,0.639,0.0918,0.14,0.062,0.0035,0.021,7.6,1.8816
Cambodia,H019806,2002-02-19,2002,2,19,29.7,7.73,6.0,15.34,0.3549,0.316,0.291,0.0348,0.659,0.0187,0.301,0.1055,0.0295,0.011,7.0,2.3
Cambodia,H019806,2002-03-22,2002,3,22,31.0,7.55,5.33,19.9,0.4252,0.596,0.353,0.0318,0.905,0.0058,0.471,0.0142,0.021,0.0116,6.554,0.494
Cambodia,H019806,2002-04-30,2002,4,30,31.5,8.64,6.0,19.8,0.4286,0.525,0.3729,0.0351,0.854,0.0088,0.517,0.0158,0.007,0.0107,7.25,2.085
Cambodia,H019806,2002-05-18,2002,5,18,31.9,7.85,2.0,20.6,0.4589,0.593,0.3399,0.0389,0.8506,0.0103,0.51,0.0214,0.0309,0.0078,7.27,1.44
Cambodia,H019806,2002-06-17,2002,6,17,30.5,7.61,151.33,14.86,0.368,0.348,0.272,0.0372,0.633,0.009,0.339,0.4165,0.003,0.0209,6.64,1.88
Cambodia,H019806,2002-09-21,2002,9,21,27.8,7.0,165.33,8.97,0.2314,0.487,0.1549,0.0258,0.688,0.0156,0.138,0.1756,0.0267,0.0139,7.51,1.9
Cambodia,H019806,2002-11-21,2002,11,21,29.8,7.37,40.66,12.43,0.2466,0.729,0.2696,0.0319,0.931,0.0119,0.24,0.1483,0.0047,0.0114,9.3,2.22
Cambodia,H020101,2002-02-21,2002,2,21,29.2,7.11,12.66,8.01,0.1118,0.318,0.256,0.0386,0.415,0.0407,0.257,0.07641,0.0077,0.0117,4.3,3.94
Cambodia,H020101,2002-04-29,2002,4,29,32.1,7.28,18.0,9.4,0.1741,0.391,0.2441,0.0398,0.519,0.0561,0.301,0.6677,0.018,0.012,6.6,7.789
Cambodia,H020101,2002-05-17,2002,5,17,32.2,7.54,4.0,8.9,0.1474,0.336,0.2477,0.0417,0.3214,0.125,0.337,0.5995,0.0673,0.004,9.84,4.76
Cambodia,H020101,2002-06-17,2002,6,17,30.2,7.76,204.0,14.86,0.3131,0.619,0.2693,0.0405,0.817,0.0158,0.362,0.4401,0.0034,0.0209,6.7,2.1
Cambodia,H020101,2002-09-30,2002,9,30,31.2,6.95,31.33,9.47,0.2463,0.528,0.1647,0.0261,0.752,0.0144,0.15,0.1124,0.0267,0.0089,4.8,2.08
Cambodia,H020101,2002-11-22,2002,11,22,29.4,7.19,47.33,9.35,0.2054,0.471,0.1728,0.03282,0.712,0.026,0.118,0.1701,0.029,0.0128,6.72,2.32
Cambodia,H020102,2002-04-26,2002,4,26,31.3,6.71,11.0,9.1,0.1614,0.376,0.224,0.0517,0.564,0.0858,0.202,0.7512,0.0739,0.008,2.3,6.8058
