MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Cambodia,H020108,2004-11-21,2004,11,21,27.0,6.72,11.0,8.0,0.5174,0.1512,0.1303,0.0373,0.6473,0.095,0.0877999999999999,0.0085,0.1006,0.308,3.597,5.7486
Cambodia,H020108,2004-12-24,2004,12,24,27.4,6.81,20.0,7.9,0.3769,0.2123,0.129,0.035,0.593,0.108,0.0633,0.104,0.0442,0.0513,5.378,4.421
Cambodia,H020108,2005-01-19,2005,1,19,28.2,6.5,34.0,9.4,0.3701,0.2288,0.331,0.0296,0.6476,0.098,0.204,0.186,0.0189,0.0516,5.35,6.766
Cambodia,H020108,2005-03-17,2005,3,17,32.0,7.74,280.0,6.1,0.1341,0.1417,0.2459,0.0476,0.26,0.183,0.141,0.094,0.148,0.2191,4.84,7.14
Cambodia,H020108,2005-08-12,2005,8,12,28.6,6.9,240.0,9.4,0.322,0.29,0.2563,0.0403,0.597,0.142,0.103,0.282,0.00349,0.1168,9.127,7.433
Cambodia,H020108,2005-09-28,2005,9,28,29.3,7.02,14.0,9.07,0.5771,0.1261,0.1925,0.035,0.752,0.059,0.146,0.11,0.0055,0.019,7.434,3.6
Cambodia,H020108,2005-10-21,2005,10,21,30.6,7.05,14.0,9.66,0.583,0.173,0.188,0.0318,0.7644,0.04,0.144,0.029,0.0648,0.0373,8.178,2.304
Cambodia,H020108,2005-11-25,2005,11,25,27.5,7.01,6.0,10.09,0.563,0.176,0.226,0.0476,0.7308,0.068,0.159,0.025,0.0736,0.0251,6.103,3.076
Cambodia,H020108,2005-12-27,2005,12,27,24.2,6.83,51.0,8.8,0.36,0.125,0.295,0.0446,0.643,0.102,0.125,0.037,0.0322,0.0186,4.747,2.559
Cambodia,H020108,2006-01-17,2006,1,17,28.9,7.37,30.0,7.84,0.489,0.041,0.217,0.0362,0.5071,0.124,0.123,0.001,0.0187,0.0455,6.329,4.461
Cambodia,H020108,2006-02-19,2006,2,19,29.2,7.34,38.0,9.62,0.468,0.081,0.252,0.0724,0.5431,0.154,0.153,0.184,0.036,0.0126,7.182,3.946
Cambodia,H020108,2006-08-17,2006,8,17,28.0,7.15,63.0,9.86,0.6,0.22,0.2733,0.0389,0.7522,0.12,0.17,0.2018,0.0223,0.0778,9.663,4.9102
Cambodia,H020108,2006-09-14,2006,9,14,29.5,6.53,75.0,10.04,0.561,0.227,0.277,0.058,0.746,0.107,0.164,0.2243,0.106,0.1012,9.8192,1.5
Cambodia,H020108,2006-10-19,2006,10,19,23.5,6.84,11.0,8.81,0.5,0.2,0.1969,0.0326,0.6458,0.074,0.145,0.0167,0.084,0.0219,9.4032,1.872
Cambodia,H020108,2006-11-21,2006,11,21,30.8,7.05,74.0,8.09,0.34,0.15,0.2785,0.0372,0.609,0.111,0.103,0.0161,0.002842,0.0623539,7.47,5.294117647
Cambodia,H020108,2006-12-18,2006,12,18,28.4,7.04,3.0,5.77,0.268,0.144,0.178,0.0245,0.497,0.076,0.07,0.0155,0.0356152,0.0502945,7.05693,9.1821
Cambodia,H020108,2007-01-23,2007,1,23,29.5,7.31,45.0,9.22,0.39,0.23,0.31085,0.04255,0.8077328646748683,0.1585127201565557,0.0580872798434442,0.0372775,0.049845,0.1198704,7.32382,8.610352941176473
Cambodia,H020108,2007-02-22,2007,2,22,31.4,7.2,77.99999999999987,8.44,0.3319999999999999,0.204,0.2824,0.0503,0.6277873070325902,0.1483171705647461,0.0562828294352538,0.0188306,0.2011372,0.1914752,7.1944,5.96192660550459
Cambodia,H020108,2007-03-21,2007,3,21,30.5,7.04,208.0,9.62,0.318,0.174,0.364,0.0421,0.595774647887324,0.1838532110091742,0.1147467889908257,0.5923955000000001,0.184152,0.1792785,7.292420314066152,5.467849223946786
Cambodia,H020108,2007-08-26,2007,8,26,28.9,6.85,238.0,10.12,0.515570358034971,0.2198168193172357,0.3308,0.0988,0.6584615384615384,0.1723946784922394,0.2303388,0.2492906,0.0620492,0.23401,6.27,1.811067635550588
Cambodia,H020108,2007-10-22,2007,10,22,28.9,7.62,16.666666666666682,9.68,0.4623115577889447,0.2271356783919598,0.2029,0.03085,0.6896551724137931,0.0960972017673048,0.2019697,0.0105744,0.041107,0.124472,8.375392612821516,0.258420762009939
Cambodia,H020108,2007-11-21,2007,11,21,27.6,7.31,7.999999999999952,9.31,0.4267569856054192,0.2215071972904319,0.1861,0.03435,0.6877551020408164,0.099195710455764,0.1686027,0.249608,0.0739696,0.095913,8.462283577276358,1.9698113207547163
Cambodia,H020108,2007-12-26,2007,12,26,27.6,6.89,15.0,9.09,0.3602023608768971,0.2195615514333897,0.2968,0.0426,0.6180602006688963,0.1167632150615495,0.1751694999999999,0.0158533,0.0772988,0.236726,6.262,4.968194070080864
Cambodia,H020108,2008-01-16,2008,1,16,29.5,7.2,14.666666666666623,9.59,0.3547297297297297,0.2655405405405405,0.2449,0.0377,0.6877310924369747,0.1394717800289436,0.0619952,0.0126463199999999,0.0864618,0.2070419999999999,5.001205800097264,5.0352422907489
Cambodia,H020108,2008-02-20,2008,2,20,26.8,7.11,51.33333333333333,9.91,0.4051413881748071,0.3002570694087403,0.2163,0.0443,0.6515397082658023,0.1202393906420021,0.2425423,0.1964248,0.1254035,0.293695,6.09994944281309,5.8
Cambodia,H020108,2008-03-14,2008,3,14,31.5,7.6,218.0,10.43,0.4020618556701031,0.3010309278350516,0.3734,0.0373,0.687145242070117,0.1723888688109866,0.2406407,0.2721159999999999,0.1677063999999999,0.3289376,8.0,6.655791190864598
Cambodia,H020108,2008-08-21,2008,8,21,28.0,7.46,90.0,12.79,0.5687861271676301,0.4023121387283239,0.3022,0.0402,0.8092561983471075,0.1693198263386396,0.2282585999999999,0.101706,0.0511384,0.257966,6.76692,2.2899906454630483
Cambodia,H020108,2008-09-23,2008,9,23,28.5,7.1,43.5,14.38,0.9404461687681858,0.1932104752667316,0.1974,0.065,0.9568982229402264,0.1269985465116279,0.2565541999999999,0.104228,0.2166456,0.1186779999999999,6.714795382435828,6.114735658042745
Cambodia,H020108,2008-10-24,2008,10,24,30.0,6.88,9.499999999999991,10.97,0.5500848896434635,0.2689303904923598,0.2034,0.0608,0.8064308681672029,0.1045739579490962,0.2230765,0.036974,0.2411213999999999,0.0745352,6.71,2.0577750460971105
Cambodia,H020108,2008-11-20,2008,11,20,27.8,6.99,6.999999999999992,8.57,0.366,0.178,0.2318,0.03055,0.5633440514469453,0.135183850036049,0.166243,0.031367,0.1382026999999999,0.071147,4.532,5.348493462194428
Cambodia,H020108,2008-12-22,2008,12,22,29.5,6.73,5.0,5.93,0.1698584512905912,0.153871773522065,0.1726,0.0452,0.3101777059773828,0.1531498913830557,0.1314726,0.026451,0.2154906999999999,0.0670299999999999,3.961315443438633,6.883928571428571
